t,x,z,th1,th2,dth1,dth2
0.4858,1.73621,-0.848394,-0.715258,0.521465,-2.79764,1.81728
0.4859,1.736,-0.848702,-0.715537,0.521646,-2.79804,1.81728
0.486,1.7358,-0.849009,-0.715817,0.521828,-2.79845,1.81729
0.4861,1.7356,-0.849317,-0.716097,0.52201,-2.79885,1.81729
0.4862,1.73539,-0.849624,-0.716377,0.522192,-2.79926,1.8173
0.4863,1.73519,-0.849931,-0.716657,0.522373,-2.79967,1.8173
0.4864,1.73499,-0.850239,-0.716937,0.522555,-2.80007,1.81731
0.4865,1.73479,-0.850546,-0.717217,0.522737,-2.80048,1.81731
0.4866,1.73458,-0.850854,-0.717497,0.522919,-2.80088,1.81731
0.4867,1.73438,-0.851162,-0.717777,0.5231,-2.80128,1.81732
0.4868,1.73418,-0.851469,-0.718057,0.523282,-2.80169,1.81732
0.4869,1.73397,-0.851777,-0.718338,0.523464,-2.80209,1.81732
0.487,1.73377,-0.852084,-0.718618,0.523645,-2.8025,1.81733
0.4871,1.73357,-0.852392,-0.718898,0.523827,-2.8029,1.81733
0.4872,1.73336,-0.852699,-0.719178,0.524009,-2.80331,1.81733
0.4873,1.73316,-0.853007,-0.719459,0.524191,-2.80371,1.81733
0.4874,1.73295,-0.853315,-0.719739,0.524372,-2.80411,1.81733
0.4875,1.73275,-0.853622,-0.72002,0.524554,-2.80452,1.81733
0.4876,1.73255,-0.85393,-0.7203,0.524736,-2.80492,1.81733
0.4877,1.73234,-0.854238,-0.720581,0.524918,-2.80532,1.81733
0.4878,1.73214,-0.854546,-0.720861,0.525099,-2.80573,1.81733
0.4879,1.73193,-0.854853,-0.721142,0.525281,-2.80613,1.81733
0.488,1.73173,-0.855161,-0.721422,0.525463,-2.80653,1.81733
0.4881,1.73152,-0.855469,-0.721703,0.525645,-2.80693,1.81733
0.4882,1.73132,-0.855777,-0.721984,0.525826,-2.80734,1.81733
0.4883,1.73111,-0.856084,-0.722264,0.526008,-2.80774,1.81733
0.4884,1.73091,-0.856392,-0.722545,0.52619,-2.80814,1.81732
0.4885,1.7307,-0.8567,-0.722826,0.526371,-2.80854,1.81732
0.4886,1.7305,-0.857008,-0.723107,0.526553,-2.80894,1.81732
0.4887,1.73029,-0.857316,-0.723388,0.526735,-2.80935,1.81732
0.4888,1.73009,-0.857624,-0.723669,0.526917,-2.80975,1.81731
0.4889,1.72988,-0.857932,-0.72395,0.527098,-2.81015,1.81731
0.489,1.72968,-0.858239,-0.724231,0.52728,-2.81055,1.8173
0.4891,1.72947,-0.858547,-0.724512,0.527462,-2.81095,1.8173
0.4892,1.72927,-0.858855,-0.724793,0.527644,-2.81135,1.8173
0.4893,1.72906,-0.859163,-0.725074,0.527825,-2.81175,1.81729
0.4894,1.72885,-0.859471,-0.725355,0.528007,-2.81215,1.81728
0.4895,1.72865,-0.859779,-0.725637,0.528189,-2.81255,1.81728
0.4896,1.72844,-0.860087,-0.725918,0.528371,-2.81295,1.81727
0.4897,1.72823,-0.860395,-0.726199,0.528552,-2.81335,1.81727
0.4898,1.72803,-0.860703,-0.726481,0.528734,-2.81375,1.81726
0.4899,1.72782,-0.861011,-0.726762,0.528916,-2.81415,1.81725
0.49,1.72762,-0.861319,-0.727043,0.529097,-2.81455,1.81725
0.4901,1.72741,-0.861627,-0.727325,0.529279,-2.81495,1.81724
0.4902,1.7272,-0.861936,-0.727606,0.529461,-2.81535,1.81723
0.4903,1.72699,-0.862244,-0.727888,0.529643,-2.81575,1.81722
0.4904,1.72679,-0.862552,-0.72817,0.529824,-2.81615,1.81722
0.4905,1.72658,-0.86286,-0.728451,0.530006,-2.81655,1.81721
0.4906,1.72637,-0.863168,-0.728733,0.530188,-2.81695,1.8172
0.4907,1.72617,-0.863476,-0.729015,0.530369,-2.81734,1.81719
0.4908,1.72596,-0.863784,-0.729296,0.530551,-2.81774,1.81718
0.4909,1.72575,-0.864093,-0.729578,0.530733,-2.81814,1.81717
0.491,1.72554,-0.864401,-0.72986,0.530915,-2.81854,1.81716
0.4911,1.72534,-0.864709,-0.730142,0.531096,-2.81894,1.81715
0.4912,1.72513,-0.865017,-0.730424,0.531278,-2.81933,1.81714
0.4913,1.72492,-0.865326,-0.730706,0.53146,-2.81973,1.81713
0.4914,1.72471,-0.865634,-0.730988,0.531641,-2.82013,1.81711
0.4915,1.7245,-0.865942,-0.73127,0.531823,-2.82053,1.8171
0.4916,1.7243,-0.86625,-0.731552,0.532005,-2.82092,1.81709
0.4917,1.72409,-0.866559,-0.731834,0.532187,-2.82132,1.81708
0.4918,1.72388,-0.866867,-0.732116,0.532368,-2.82172,1.81706
0.4919,1.72367,-0.867175,-0.732398,0.53255,-2.82211,1.81705
0.492,1.72346,-0.867484,-0.73268,0.532732,-2.82251,1.81704
0.4921,1.72325,-0.867792,-0.732963,0.532913,-2.82291,1.81702
0.4922,1.72304,-0.8681,-0.733245,0.533095,-2.8233,1.81701
0.4923,1.72283,-0.868409,-0.733527,0.533277,-2.8237,1.817
0.4924,1.72263,-0.868717,-0.73381,0.533459,-2.82409,1.81698
0.4925,1.72242,-0.869026,-0.734092,0.53364,-2.82449,1.81697
0.4926,1.72221,-0.869334,-0.734375,0.533822,-2.82488,1.81695
0.4927,1.722,-0.869643,-0.734657,0.534004,-2.82528,1.81694
0.4928,1.72179,-0.869951,-0.73494,0.534185,-2.82567,1.81692
0.4929,1.72158,-0.87026,-0.735222,0.534367,-2.82607,1.8169
0.493,1.72137,-0.870568,-0.735505,0.534549,-2.82646,1.81689
0.4931,1.72116,-0.870877,-0.735788,0.53473,-2.82686,1.81687
0.4932,1.72095,-0.871185,-0.73607,0.534912,-2.82725,1.81685
0.4933,1.72074,-0.871494,-0.736353,0.535094,-2.82765,1.81684
0.4934,1.72053,-0.871802,-0.736636,0.535275,-2.82804,1.81682
0.4935,1.72032,-0.872111,-0.736919,0.535457,-2.82844,1.8168
0.4936,1.72011,-0.872419,-0.737202,0.535639,-2.82883,1.81678
0.4937,1.7199,-0.872728,-0.737484,0.53582,-2.82922,1.81676
0.4938,1.71969,-0.873037,-0.737767,0.536002,-2.82962,1.81674
0.4939,1.71948,-0.873345,-0.73805,0.536184,-2.83001,1.81672
0.494,1.71927,-0.873654,-0.738333,0.536365,-2.8304,1.8167
0.4941,1.71905,-0.873962,-0.738616,0.536547,-2.8308,1.81668
0.4942,1.71884,-0.874271,-0.7389,0.536729,-2.83119,1.81666
0.4943,1.71863,-0.87458,-0.739183,0.53691,-2.83158,1.81664
0.4944,1.71842,-0.874889,-0.739466,0.537092,-2.83197,1.81662
0.4945,1.71821,-0.875197,-0.739749,0.537274,-2.83237,1.8166
0.4946,1.718,-0.875506,-0.740032,0.537455,-2.83276,1.81658
0.4947,1.71779,-0.875815,-0.740316,0.537637,-2.83315,1.81656
0.4948,1.71758,-0.876123,-0.740599,0.537819,-2.83354,1.81653
0.4949,1.71736,-0.876432,-0.740882,0.538,-2.83393,1.81651
0.495,1.71715,-0.876741,-0.741166,0.538182,-2.83433,1.81649
0.4951,1.71694,-0.87705,-0.741449,0.538364,-2.83472,1.81647
0.4952,1.71673,-0.877359,-0.741733,0.538545,-2.83511,1.81644
0.4953,1.71652,-0.877667,-0.742016,0.538727,-2.8355,1.81642
0.4954,1.7163,-0.877976,-0.7423,0.538909,-2.83589,1.81639
0.4955,1.71609,-0.878285,-0.742583,0.53909,-2.83628,1.81637
0.4956,1.71588,-0.878594,-0.742867,0.539272,-2.83667,1.81635
0.4957,1.71567,-0.878903,-0.743151,0.539454,-2.83706,1.81632
0.4958,1.71545,-0.879212,-0.743434,0.539635,-2.83745,1.81629
0.4959,1.71524,-0.87952,-0.743718,0.539817,-2.83784,1.81627
0.496,1.71503,-0.879829,-0.744002,0.539998,-2.83823,1.81624
0.4961,1.71481,-0.880138,-0.744286,0.54018,-2.83862,1.81622
0.4962,1.7146,-0.880447,-0.74457,0.540362,-2.83901,1.81619
0.4963,1.71439,-0.880756,-0.744854,0.540543,-2.8394,1.81616
0.4964,1.71417,-0.881065,-0.745138,0.540725,-2.83979,1.81614
0.4965,1.71396,-0.881374,-0.745422,0.540907,-2.84018,1.81611
0.4966,1.71375,-0.881683,-0.745706,0.541088,-2.84057,1.81608
0.4967,1.71353,-0.881992,-0.74599,0.54127,-2.84096,1.81605
0.4968,1.71332,-0.882301,-0.746274,0.541451,-2.84135,1.81602
0.4969,1.71311,-0.88261,-0.746558,0.541633,-2.84174,1.81599
0.497,1.71289,-0.882919,-0.746842,0.541815,-2.84213,1.81596
0.4971,1.71268,-0.883228,-0.747126,0.541996,-2.84251,1.81594
0.4972,1.71246,-0.883537,-0.747411,0.542178,-2.8429,1.81591
0.4973,1.71225,-0.883846,-0.747695,0.542359,-2.84329,1.81588
0.4974,1.71204,-0.884155,-0.747979,0.542541,-2.84368,1.81584
0.4975,1.71182,-0.884464,-0.748264,0.542723,-2.84406,1.81581
0.4976,1.71161,-0.884773,-0.748548,0.542904,-2.84445,1.81578
0.4977,1.71139,-0.885083,-0.748833,0.543086,-2.84484,1.81575
0.4978,1.71118,-0.885392,-0.749117,0.543267,-2.84523,1.81572
0.4979,1.71096,-0.885701,-0.749402,0.543449,-2.84561,1.81569
0.498,1.71075,-0.88601,-0.749686,0.54363,-2.846,1.81566
0.4981,1.71053,-0.886319,-0.749971,0.543812,-2.84639,1.81562
0.4982,1.71032,-0.886628,-0.750256,0.543994,-2.84677,1.81559
0.4983,1.7101,-0.886938,-0.75054,0.544175,-2.84716,1.81556
0.4984,1.70989,-0.887247,-0.750825,0.544357,-2.84755,1.81552
0.4985,1.70967,-0.887556,-0.75111,0.544538,-2.84793,1.81549
0.4986,1.70946,-0.887865,-0.751395,0.54472,-2.84832,1.81545
0.4987,1.70924,-0.888174,-0.751679,0.544901,-2.8487,1.81542
0.4988,1.70902,-0.888484,-0.751964,0.545083,-2.84909,1.81538
0.4989,1.70881,-0.888793,-0.752249,0.545264,-2.84947,1.81535
0.499,1.70859,-0.889102,-0.752534,0.545446,-2.84986,1.81531
0.4991,1.70838,-0.889411,-0.752819,0.545627,-2.85024,1.81528
0.4992,1.70816,-0.889721,-0.753104,0.545809,-2.85063,1.81524
0.4993,1.70794,-0.89003,-0.753389,0.54599,-2.85101,1.8152
0.4994,1.70773,-0.890339,-0.753674,0.546172,-2.8514,1.81517
0.4995,1.70751,-0.890649,-0.75396,0.546353,-2.85178,1.81513
0.4996,1.70729,-0.890958,-0.754245,0.546535,-2.85217,1.81509
0.4997,1.70708,-0.891267,-0.75453,0.546716,-2.85255,1.81506
0.4998,1.70686,-0.891577,-0.754815,0.546898,-2.85294,1.81502
0.4999,1.70664,-0.891886,-0.755101,0.547079,-2.85332,1.81498
0.5,1.70643,-0.892195,-0.755386,0.547261,-2.8537,1.81494
0.5001,1.70621,-0.892505,-0.755671,0.547442,-2.85409,1.8149
0.5002,1.70599,-0.892814,-0.755957,0.547624,-2.85447,1.81486
0.5003,1.70578,-0.893124,-0.756242,0.547805,-2.85485,1.81482
0.5004,1.70556,-0.893433,-0.756528,0.547987,-2.85524,1.81478
0.5005,1.70534,-0.893743,-0.756813,0.548168,-2.85562,1.81474
0.5006,1.70512,-0.894052,-0.757099,0.54835,-2.856,1.8147
0.5007,1.7049,-0.894361,-0.757385,0.548531,-2.85638,1.81466
0.5008,1.70469,-0.894671,-0.75767,0.548713,-2.85677,1.81462
0.5009,1.70447,-0.89498,-0.757956,0.548894,-2.85715,1.81458
0.501,1.70425,-0.89529,-0.758242,0.549076,-2.85753,1.81453
0.5011,1.70403,-0.895599,-0.758527,0.549257,-2.85791,1.81449
0.5012,1.70381,-0.895909,-0.758813,0.549439,-2.85829,1.81445
0.5013,1.7036,-0.896218,-0.759099,0.54962,-2.85867,1.81441
0.5014,1.70338,-0.896528,-0.759385,0.549802,-2.85906,1.81436
0.5015,1.70316,-0.896837,-0.759671,0.549983,-2.85944,1.81432
0.5016,1.70294,-0.897147,-0.759957,0.550164,-2.85982,1.81427
0.5017,1.70272,-0.897457,-0.760243,0.550346,-2.8602,1.81423
0.5018,1.7025,-0.897766,-0.760529,0.550527,-2.86058,1.81419
0.5019,1.70228,-0.898076,-0.760815,0.550709,-2.86096,1.81414
0.502,1.70206,-0.898385,-0.761101,0.55089,-2.86134,1.8141
0.5021,1.70184,-0.898695,-0.761387,0.551071,-2.86172,1.81405
0.5022,1.70163,-0.899005,-0.761673,0.551253,-2.8621,1.814
0.5023,1.70141,-0.899314,-0.76196,0.551434,-2.86248,1.81396
0.5024,1.70119,-0.899624,-0.762246,0.551616,-2.86286,1.81391
0.5025,1.70097,-0.899933,-0.762532,0.551797,-2.86324,1.81386
0.5026,1.70075,-0.900243,-0.762819,0.551978,-2.86362,1.81382
0.5027,1.70053,-0.900553,-0.763105,0.55216,-2.864,1.81377
0.5028,1.70031,-0.900863,-0.763391,0.552341,-2.86438,1.81372
0.5029,1.70009,-0.901172,-0.763678,0.552523,-2.86475,1.81367
0.503,1.69987,-0.901482,-0.763964,0.552704,-2.86513,1.81363
0.5031,1.69965,-0.901792,-0.764251,0.552885,-2.86551,1.81358
0.5032,1.69943,-0.902101,-0.764537,0.553067,-2.86589,1.81353
0.5033,1.69921,-0.902411,-0.764824,0.553248,-2.86627,1.81348
0.5034,1.69898,-0.902721,-0.765111,0.553429,-2.86665,1.81343
0.5035,1.69876,-0.903031,-0.765397,0.553611,-2.86702,1.81338
0.5036,1.69854,-0.90334,-0.765684,0.553792,-2.8674,1.81333
0.5037,1.69832,-0.90365,-0.765971,0.553973,-2.86778,1.81328
0.5038,1.6981,-0.90396,-0.766258,0.554155,-2.86816,1.81323
0.5039,1.69788,-0.90427,-0.766544,0.554336,-2.86853,1.81318
0.504,1.69766,-0.904579,-0.766831,0.554517,-2.86891,1.81312
0.5041,1.69744,-0.904889,-0.767118,0.554699,-2.86929,1.81307
0.5042,1.69722,-0.905199,-0.767405,0.55488,-2.86966,1.81302
0.5043,1.69699,-0.905509,-0.767692,0.555061,-2.87004,1.81297
0.5044,1.69677,-0.905819,-0.767979,0.555242,-2.87042,1.81291
0.5045,1.69655,-0.906129,-0.768266,0.555424,-2.87079,1.81286
0.5046,1.69633,-0.906438,-0.768553,0.555605,-2.87117,1.81281
0.5047,1.69611,-0.906748,-0.76884,0.555786,-2.87154,1.81275
0.5048,1.69588,-0.907058,-0.769128,0.555968,-2.87192,1.8127
0.5049,1.69566,-0.907368,-0.769415,0.556149,-2.8723,1.81264
0.505,1.69544,-0.907678,-0.769702,0.55633,-2.87267,1.81259
0.5051,1.69522,-0.907988,-0.769989,0.556511,-2.87305,1.81253
0.5052,1.695,-0.908298,-0.770277,0.556693,-2.87342,1.81248
0.5053,1.69477,-0.908608,-0.770564,0.556874,-2.8738,1.81242
0.5054,1.69455,-0.908918,-0.770851,0.557055,-2.87417,1.81237
0.5055,1.69433,-0.909228,-0.771139,0.557236,-2.87455,1.81231
0.5056,1.6941,-0.909537,-0.771426,0.557418,-2.87492,1.81225
0.5057,1.69388,-0.909847,-0.771714,0.557599,-2.87529,1.8122
0.5058,1.69366,-0.910157,-0.772001,0.55778,-2.87567,1.81214
0.5059,1.69343,-0.910467,-0.772289,0.557961,-2.87604,1.81208
0.506,1.69321,-0.910777,-0.772577,0.558142,-2.87642,1.81202
0.5061,1.69299,-0.911087,-0.772864,0.558324,-2.87679,1.81196
0.5062,1.69276,-0.911397,-0.773152,0.558505,-2.87716,1.8119
0.5063,1.69254,-0.911707,-0.77344,0.558686,-2.87754,1.81184
0.5064,1.69232,-0.912017,-0.773728,0.558867,-2.87791,1.81179
0.5065,1.69209,-0.912327,-0.774015,0.559048,-2.87828,1.81173
0.5066,1.69187,-0.912637,-0.774303,0.55923,-2.87865,1.81167
0.5067,1.69165,-0.912947,-0.774591,0.559411,-2.87903,1.81161
0.5068,1.69142,-0.913257,-0.774879,0.559592,-2.8794,1.81154
0.5069,1.6912,-0.913568,-0.775167,0.559773,-2.87977,1.81148
0.507,1.69097,-0.913878,-0.775455,0.559954,-2.88014,1.81142
0.5071,1.69075,-0.914188,-0.775743,0.560135,-2.88051,1.81136
0.5072,1.69052,-0.914498,-0.776031,0.560316,-2.88089,1.8113
0.5073,1.6903,-0.914808,-0.776319,0.560498,-2.88126,1.81124
0.5074,1.69007,-0.915118,-0.776607,0.560679,-2.88163,1.81117
0.5075,1.68985,-0.915428,-0.776895,0.56086,-2.882,1.81111
0.5076,1.68962,-0.915738,-0.777184,0.561041,-2.88237,1.81105
0.5077,1.6894,-0.916048,-0.777472,0.561222,-2.88274,1.81098
0.5078,1.68917,-0.916358,-0.77776,0.561403,-2.88311,1.81092
0.5079,1.68895,-0.916669,-0.778049,0.561584,-2.88348,1.81085
0.508,1.68872,-0.916979,-0.778337,0.561765,-2.88385,1.81079
0.5081,1.6885,-0.917289,-0.778625,0.561946,-2.88422,1.81072
0.5082,1.68827,-0.917599,-0.778914,0.562127,-2.88459,1.81066
0.5083,1.68804,-0.917909,-0.779202,0.562308,-2.88496,1.81059
0.5084,1.68782,-0.918219,-0.779491,0.56249,-2.88533,1.81053
0.5085,1.68759,-0.91853,-0.779779,0.562671,-2.8857,1.81046
0.5086,1.68737,-0.91884,-0.780068,0.562852,-2.88607,1.81039
0.5087,1.68714,-0.91915,-0.780357,0.563033,-2.88644,1.81033
0.5088,1.68691,-0.91946,-0.780645,0.563214,-2.88681,1.81026
0.5089,1.68669,-0.91977,-0.780934,0.563395,-2.88718,1.81019
0.509,1.68646,-0.920081,-0.781223,0.563576,-2.88755,1.81012
0.5091,1.68623,-0.920391,-0.781511,0.563757,-2.88792,1.81006
0.5092,1.68601,-0.920701,-0.7818,0.563938,-2.88828,1.80999
0.5093,1.68578,-0.921011,-0.782089,0.564119,-2.88865,1.80992
0.5094,1.68555,-0.921322,-0.782378,0.5643,-2.88902,1.80985
0.5095,1.68533,-0.921632,-0.782667,0.564481,-2.88939,1.80978
0.5096,1.6851,-0.921942,-0.782956,0.564662,-2.88976,1.80971
0.5097,1.68487,-0.922252,-0.783245,0.564843,-2.89012,1.80964
0.5098,1.68465,-0.922563,-0.783534,0.565024,-2.89049,1.80957
0.5099,1.68442,-0.922873,-0.783823,0.565205,-2.89086,1.8095
0.51,1.68419,-0.923183,-0.784112,0.565386,-2.89122,1.80943
0.5101,1.68396,-0.923494,-0.784401,0.565566,-2.89159,1.80936
0.5102,1.68373,-0.923804,-0.78469,0.565747,-2.89196,1.80928
0.5103,1.68351,-0.924114,-0.78498,0.565928,-2.89232,1.80921
0.5104,1.68328,-0.924425,-0.785269,0.566109,-2.89269,1.80914
0.5105,1.68305,-0.924735,-0.785558,0.56629,-2.89306,1.80907
0.5106,1.68282,-0.925045,-0.785847,0.566471,-2.89342,1.80899
0.5107,1.68259,-0.925356,-0.786137,0.566652,-2.89379,1.80892
0.5108,1.68237,-0.925666,-0.786426,0.566833,-2.89415,1.80885
0.5109,1.68214,-0.925976,-0.786716,0.567014,-2.89452,1.80877
0.511,1.68191,-0.926287,-0.787005,0.567195,-2.89489,1.8087
0.5111,1.68168,-0.926597,-0.787295,0.567375,-2.89525,1.80862
0.5112,1.68145,-0.926908,-0.787584,0.567556,-2.89562,1.80855
0.5113,1.68122,-0.927218,-0.787874,0.567737,-2.89598,1.80847
0.5114,1.68099,-0.927528,-0.788163,0.567918,-2.89634,1.8084
0.5115,1.68076,-0.927839,-0.788453,0.568099,-2.89671,1.80832
0.5116,1.68053,-0.928149,-0.788743,0.56828,-2.89707,1.80824
0.5117,1.6803,-0.92846,-0.789032,0.56846,-2.89744,1.80817
0.5118,1.68008,-0.92877,-0.789322,0.568641,-2.8978,1.80809
0.5119,1.67985,-0.92908,-0.789612,0.568822,-2.89816,1.80801
0.512,1.67962,-0.929391,-0.789902,0.569003,-2.89853,1.80793
0.5121,1.67939,-0.929701,-0.790192,0.569184,-2.89889,1.80786
0.5122,1.67916,-0.930012,-0.790482,0.569364,-2.89926,1.80778
0.5123,1.67893,-0.930322,-0.790771,0.569545,-2.89962,1.8077
0.5124,1.6787,-0.930633,-0.791061,0.569726,-2.89998,1.80762
0.5125,1.67847,-0.930943,-0.791351,0.569907,-2.90034,1.80754
0.5126,1.67824,-0.931254,-0.791642,0.570088,-2.90071,1.80746
0.5127,1.678,-0.931564,-0.791932,0.570268,-2.90107,1.80738
0.5128,1.67777,-0.931875,-0.792222,0.570449,-2.90143,1.8073
0.5129,1.67754,-0.932185,-0.792512,0.57063,-2.90179,1.80722
0.513,1.67731,-0.932496,-0.792802,0.57081,-2.90215,1.80714
0.5131,1.67708,-0.932806,-0.793092,0.570991,-2.90252,1.80706
0.5132,1.67685,-0.933117,-0.793383,0.571172,-2.90288,1.80697
0.5133,1.67662,-0.933427,-0.793673,0.571353,-2.90324,1.80689
0.5134,1.67639,-0.933738,-0.793963,0.571533,-2.9036,1.80681
0.5135,1.67616,-0.934048,-0.794254,0.571714,-2.90396,1.80673
0.5136,1.67593,-0.934359,-0.794544,0.571895,-2.90432,1.80664
0.5137,1.67569,-0.934669,-0.794835,0.572075,-2.90468,1.80656
0.5138,1.67546,-0.93498,-0.795125,0.572256,-2.90504,1.80648
0.5139,1.67523,-0.93529,-0.795416,0.572437,-2.9054,1.80639
0.514,1.675,-0.935601,-0.795706,0.572617,-2.90576,1.80631
0.5141,1.67477,-0.935911,-0.795997,0.572798,-2.90612,1.80622
0.5142,1.67454,-0.936222,-0.796287,0.572978,-2.90648,1.80614
0.5143,1.6743,-0.936533,-0.796578,0.573159,-2.90684,1.80605
0.5144,1.67407,-0.936843,-0.796869,0.57334,-2.9072,1.80597
0.5145,1.67384,-0.937154,-0.797159,0.57352,-2.90756,1.80588
0.5146,1.67361,-0.937464,-0.79745,0.573701,-2.90792,1.80579
0.5147,1.67337,-0.937775,-0.797741,0.573881,-2.90828,1.80571
0.5148,1.67314,-0.938086,-0.798032,0.574062,-2.90864,1.80562
0.5149,1.67291,-0.938396,-0.798323,0.574243,-2.909,1.80553
0.515,1.67267,-0.938707,-0.798614,0.574423,-2.90936,1.80545
0.5151,1.67244,-0.939017,-0.798905,0.574604,-2.90971,1.80536
0.5152,1.67221,-0.939328,-0.799196,0.574784,-2.91007,1.80527
0.5153,1.67198,-0.939639,-0.799487,0.574965,-2.91043,1.80518
0.5154,1.67174,-0.939949,-0.799778,0.575145,-2.91079,1.80509
0.5155,1.67151,-0.94026,-0.800069,0.575326,-2.91115,1.805
0.5156,1.67128,-0.940571,-0.80036,0.575506,-2.9115,1.80491
0.5157,1.67104,-0.940881,-0.800651,0.575687,-2.91186,1.80482
0.5158,1.67081,-0.941192,-0.800942,0.575867,-2.91222,1.80473
0.5159,1.67057,-0.941503,-0.801234,0.576048,-2.91257,1.80464
0.516,1.67034,-0.941813,-0.801525,0.576228,-2.91293,1.80455
0.5161,1.67011,-0.942124,-0.801816,0.576409,-2.91329,1.80446
0.5162,1.66987,-0.942435,-0.802107,0.576589,-2.91364,1.80437
0.5163,1.66964,-0.942745,-0.802399,0.576769,-2.914,1.80428
0.5164,1.6694,-0.943056,-0.80269,0.57695,-2.91436,1.80418
0.5165,1.66917,-0.943367,-0.802982,0.57713,-2.91471,1.80409
0.5166,1.66893,-0.943677,-0.803273,0.577311,-2.91507,1.804
0.5167,1.6687,-0.943988,-0.803565,0.577491,-2.91542,1.8039
0.5168,1.66846,-0.944299,-0.803856,0.577671,-2.91578,1.80381
0.5169,1.66823,-0.944609,-0.804148,0.577852,-2.91613,1.80372
0.517,1.66799,-0.94492,-0.804439,0.578032,-2.91649,1.80362
0.5171,1.66776,-0.945231,-0.804731,0.578213,-2.91684,1.80353
0.5172,1.66752,-0.945541,-0.805023,0.578393,-2.9172,1.80343
0.5173,1.66729,-0.945852,-0.805315,0.578573,-2.91755,1.80334
0.5174,1.66705,-0.946163,-0.805606,0.578754,-2.91791,1.80324
0.5175,1.66682,-0.946474,-0.805898,0.578934,-2.91826,1.80315
0.5176,1.66658,-0.946784,-0.80619,0.579114,-2.91861,1.80305
0.5177,1.66635,-0.947095,-0.806482,0.579294,-2.91897,1.80295
0.5178,1.66611,-0.947406,-0.806774,0.579475,-2.91932,1.80286
0.5179,1.66587,-0.947717,-0.807066,0.579655,-2.91967,1.80276
0.518,1.66564,-0.948027,-0.807358,0.579835,-2.92003,1.80266
0.5181,1.6654,-0.948338,-0.80765,0.580016,-2.92038,1.80256
0.5182,1.66517,-0.948649,-0.807942,0.580196,-2.92073,1.80246
0.5183,1.66493,-0.94896,-0.808234,0.580376,-2.92109,1.80237
0.5184,1.66469,-0.94927,-0.808526,0.580556,-2.92144,1.80227
0.5185,1.66446,-0.949581,-0.808818,0.580736,-2.92179,1.80217
0.5186,1.66422,-0.949892,-0.80911,0.580917,-2.92214,1.80207
0.5187,1.66398,-0.950203,-0.809403,0.581097,-2.9225,1.80197
0.5188,1.66375,-0.950513,-0.809695,0.581277,-2.92285,1.80187
0.5189,1.66351,-0.950824,-0.809987,0.581457,-2.9232,1.80177
0.519,1.66327,-0.951135,-0.81028,0.581637,-2.92355,1.80167
0.5191,1.66303,-0.951446,-0.810572,0.581818,-2.9239,1.80156
0.5192,1.6628,-0.951757,-0.810864,0.581998,-2.92425,1.80146
0.5193,1.66256,-0.952067,-0.811157,0.582178,-2.9246,1.80136
0.5194,1.66232,-0.952378,-0.811449,0.582358,-2.92496,1.80126
0.5195,1.66208,-0.952689,-0.811742,0.582538,-2.92531,1.80116
0.5196,1.66185,-0.953,-0.812034,0.582718,-2.92566,1.80105
0.5197,1.66161,-0.953311,-0.812327,0.582898,-2.92601,1.80095
0.5198,1.66137,-0.953621,-0.81262,0.583078,-2.92636,1.80084
0.5199,1.66113,-0.953932,-0.812912,0.583259,-2.92671,1.80074
0.52,1.66089,-0.954243,-0.813205,0.583439,-2.92706,1.80064
0.5201,1.66065,-0.954554,-0.813498,0.583619,-2.92741,1.80053
0.5202,1.66042,-0.954865,-0.81379,0.583799,-2.92776,1.80043
0.5203,1.66018,-0.955176,-0.814083,0.583979,-2.9281,1.80032
0.5204,1.65994,-0.955486,-0.814376,0.584159,-2.92845,1.80022
0.5205,1.6597,-0.955797,-0.814669,0.584339,-2.9288,1.80011
0.5206,1.65946,-0.956108,-0.814962,0.584519,-2.92915,1.8
0.5207,1.65922,-0.956419,-0.815255,0.584699,-2.9295,1.7999
0.5208,1.65898,-0.95673,-0.815548,0.584879,-2.92985,1.79979
0.5209,1.65874,-0.957041,-0.815841,0.585059,-2.9302,1.79968
0.521,1.6585,-0.957351,-0.816134,0.585239,-2.93054,1.79957
0.5211,1.65827,-0.957662,-0.816427,0.585419,-2.93089,1.79947
0.5212,1.65803,-0.957973,-0.81672,0.585599,-2.93124,1.79936
0.5213,1.65779,-0.958284,-0.817013,0.585779,-2.93159,1.79925
0.5214,1.65755,-0.958595,-0.817306,0.585958,-2.93193,1.79914
0.5215,1.65731,-0.958906,-0.817599,0.586138,-2.93228,1.79903
0.5216,1.65707,-0.959217,-0.817893,0.586318,-2.93263,1.79892
0.5217,1.65683,-0.959527,-0.818186,0.586498,-2.93297,1.79881
0.5218,1.65659,-0.959838,-0.818479,0.586678,-2.93332,1.7987
0.5219,1.65635,-0.960149,-0.818773,0.586858,-2.93367,1.79859
0.522,1.65611,-0.96046,-0.819066,0.587038,-2.93401,1.79848
0.5221,1.65587,-0.960771,-0.819359,0.587218,-2.93436,1.79837
0.5222,1.65562,-0.961082,-0.819653,0.587397,-2.93471,1.79826
0.5223,1.65538,-0.961393,-0.819946,0.587577,-2.93505,1.79814
0.5224,1.65514,-0.961704,-0.82024,0.587757,-2.9354,1.79803
0.5225,1.6549,-0.962015,-0.820533,0.587937,-2.93574,1.79792
0.5226,1.65466,-0.962325,-0.820827,0.588117,-2.93609,1.79781
