t,x,z,th1,th2,dth1,dth2
0.0062,2,-0.00014716,-0.000119567,9.19747e-05,-0.03857,0.0296693
0.0063,2,-0.000151945,-0.000123455,9.49656e-05,-0.0391921,0.0301478
0.0064,2,-0.000156807,-0.000127406,9.80043e-05,-0.0398142,0.0306263
0.0065,2,-0.000161745,-0.000131418,0.000101091,-0.0404363,0.0311049
0.0066,2,-0.00016676,-0.000135493,0.000104225,-0.0410584,0.0315834
0.0067,2,-0.000171852,-0.00013963,0.000107408,-0.0416805,0.032062
0.0068,2,-0.00017702,-0.000143829,0.000110638,-0.0423026,0.0325405
0.0069,2,-0.000182265,-0.00014809,0.000113916,-0.0429247,0.033019
0.007,2,-0.000187586,-0.000152414,0.000117241,-0.0435468,0.0334976
0.0071,2,-0.000192984,-0.0001568,0.000120615,-0.0441689,0.0339761
0.0072,2,-0.000198459,-0.000161248,0.000124037,-0.044791,0.0344546
0.0073,2,-0.00020401,-0.000165758,0.000127506,-0.0454131,0.0349332
0.0074,2,-0.000209637,-0.00017033,0.000131023,-0.0460352,0.0354117
0.0075,2,-0.000215341,-0.000174965,0.000134588,-0.0466573,0.0358902
0.0076,2,-0.000221122,-0.000179662,0.000138201,-0.0472794,0.0363688
0.0077,2,-0.000226979,-0.000184421,0.000141862,-0.0479015,0.0368473
0.0078,2,-0.000232913,-0.000189242,0.000145571,-0.0485236,0.0373259
0.0079,2,-0.000238924,-0.000194126,0.000149327,-0.0491457,0.0378044
0.008,2,-0.000245011,-0.000199071,0.000153132,-0.0497678,0.0382829
0.0081,2,-0.000251174,-0.000204079,0.000156984,-0.0503899,0.0387615
0.0082,2,-0.000257414,-0.000209149,0.000160884,-0.051012,0.03924
0.0083,2,-0.000263731,-0.000214282,0.000164832,-0.0516341,0.0397185
0.0084,2,-0.000270124,-0.000219476,0.000168828,-0.0522562,0.0401971
0.0085,2,-0.000276594,-0.000224733,0.000172871,-0.0528783,0.0406756
0.0086,2,-0.000283141,-0.000230052,0.000176963,-0.0535004,0.0411541
0.0087,2,-0.000289763,-0.000235433,0.000181102,-0.0541225,0.0416327
0.0088,2,-0.000296463,-0.000240876,0.000185289,-0.0547446,0.0421112
0.0089,2,-0.000303239,-0.000246382,0.000189524,-0.0553667,0.0425898
0.009,2,-0.000310092,-0.00025195,0.000193807,-0.0559888,0.0430683
0.0091,2,-0.000317021,-0.000257579,0.000198138,-0.0566109,0.0435468
0.0092,2,-0.000324027,-0.000263272,0.000202517,-0.057233,0.0440254
0.0093,2,-0.000331109,-0.000269026,0.000206943,-0.0578551,0.0445039
0.0094,2,-0.000338268,-0.000274843,0.000211417,-0.0584772,0.0449824
0.0095,2,-0.000345503,-0.000280722,0.00021594,-0.0590993,0.045461
0.0096,2,-0.000352815,-0.000286663,0.00022051,-0.0597214,0.0459395
0.0097,2,-0.000360204,-0.000292666,0.000225128,-0.0603435,0.046418
0.0098,2,-0.000367669,-0.000298731,0.000229793,-0.0609656,0.0468966
0.0099,2,-0.000375211,-0.000304859,0.000234507,-0.0615877,0.0473751
0.01,2,-0.000382829,-0.000311049,0.000239268,-0.0622098,0.0478537
0.0101,2,-0.000390524,-0.000317301,0.000244078,-0.0628319,0.0483322
0.0102,2,-0.000398296,-0.000323615,0.000248935,-0.063454,0.0488107
0.0103,2,-0.000406144,-0.000329992,0.00025384,-0.064076,0.0492893
0.0104,2,-0.000414068,-0.00033643,0.000258793,-0.0646981,0.0497678
0.0105,2,-0.000422069,-0.000342931,0.000263793,-0.0653202,0.0502463
0.0106,2,-0.000430147,-0.000349494,0.000268842,-0.0659423,0.0507249
0.0107,2,-0.000438301,-0.00035612,0.000273938,-0.0665644,0.0512034
0.0108,2,-0.000446532,-0.000362807,0.000279083,-0.0671865,0.0516819
0.0109,2,-0.000454839,-0.000369557,0.000284275,-0.0678086,0.0521605
