t,th1,th2,dth1,dth2
0.0083,-0.000197479,0.000141309,-0.0475853,0.0340502
0.0084,-0.000202266,0.000144734,-0.0481586,0.0344605
0.0085,-0.000207111,0.000148201,-0.048732,0.0348707
0.0086,-0.000212013,0.000151708,-0.0493053,0.035281
0.0087,-0.000216972,0.000155257,-0.0498786,0.0356912
0.0088,-0.000221988,0.000158846,-0.0504519,0.0361015
0.0089,-0.000227062,0.000162477,-0.0510252,0.0365117
0.009,-0.000232193,0.000166149,-0.0515985,0.036922
0.0091,-0.000237382,0.000169861,-0.0521719,0.0373322
0.0092,-0.000242628,0.000173615,-0.0527452,0.0377424
0.0093,-0.000247931,0.00017741,-0.0533185,0.0381527
0.0094,-0.000253291,0.000181246,-0.0538918,0.0385629
0.0095,-0.000258709,0.000185123,-0.0544651,0.0389732
0.0096,-0.000264185,0.00018904,-0.0550384,0.0393834
0.0097,-0.000269717,0.000192999,-0.0556118,0.0397937
0.0098,-0.000275307,0.000196999,-0.0561851,0.0402039
0.0099,-0.000280954,0.00020104,-0.0567584,0.0406141
0.01,-0.000286659,0.000205122,-0.0573317,0.0410244
0.0101,-0.00029242,0.000209245,-0.057905,0.0414346
0.0102,-0.00029824,0.000213409,-0.0584783,0.0418449
0.0103,-0.000304116,0.000217614,-0.0590517,0.0422551
0.0104,-0.00031005,0.00022186,-0.059625,0.0426654
0.0105,-0.000316041,0.000226147,-0.0601983,0.0430756
0.0106,-0.00032209,0.000230475,-0.0607716,0.0434859
0.0107,-0.000328195,0.000234844,-0.0613449,0.0438961
0.0108,-0.000334359,0.000239254,-0.0619182,0.0443063
0.0109,-0.000340579,0.000243705,-0.0624916,0.0447166
0.011,-0.000346857,0.000248198,-0.0630649,0.0451268
0.0111,-0.000353192,0.000252731,-0.0636382,0.0455371
0.0112,-0.000359584,0.000257305,-0.0642115,0.0459473
0.0113,-0.000366034,0.00026192,-0.0647848,0.0463576
0.0114,-0.000372541,0.000266576,-0.0653581,0.0467678
0.0115,-0.000379106,0.000271274,-0.0659315,0.047178
0.0116,-0.000385728,0.000276012,-0.0665048,0.0475883
0.0117,-0.000392407,0.000280791,-0.0670781,0.0479985
0.0118,-0.000399143,0.000285612,-0.0676514,0.0484088
0.0119,-0.000405937,0.000290473,-0.0682247,0.048819
0.012,-0.000412788,0.000295376,-0.068798,0.0492293
0.0121,-0.000419697,0.000300319,-0.0693714,0.0496395
0.0122,-0.000426663,0.000305304,-0.0699447,0.0500498
0.0123,-0.000433686,0.000310329,-0.070518,0.05046
0.0124,-0.000440766,0.000315396,-0.0710913,0.0508702
0.0125,-0.000447904,0.000320503,-0.0716646,0.0512805
0.0126,-0.000455099,0.000325652,-0.0722379,0.0516907
0.0127,-0.000462352,0.000330841,-0.0728113,0.052101
0.0128,-0.000469661,0.000336072,-0.0733846,0.0525112
0.0129,-0.000477028,0.000341343,-0.0739579,0.0529215
0.013,-0.000484453,0.000346656,-0.0745312,0.0533317
0.0131,-0.000491935,0.00035201,-0.0751045,0.0537419
0.0132,-0.000499474,0.000357404,-0.0756779,0.0541522
0.0133,-0.00050707,0.00036284,-0.0762512,0.0545624
0.0134,-0.000514724,0.000368317,-0.0768245,0.0549727
0.0135,-0.000522435,0.000373835,-0.0773978,0.0553829
0.0136,-0.000530204,0.000379394,-0.0779711,0.0557932
0.0137,-0.000538029,0.000384993,-0.0785444,0.0562034
0.0138,-0.000545913,0.000390634,-0.0791178,0.0566137
0.0139,-0.000553853,0.000396316,-0.0796911,0.0570239
0.014,-0.000561851,0.000402039,-0.0802644,0.0574341
0.0141,-0.000569906,0.000407803,-0.0808377,0.0578444
0.0142,-0.000578018,0.000413608,-0.081411,0.0582546
0.0143,-0.000586188,0.000419454,-0.0819843,0.0586649
0.0144,-0.000594415,0.000425341,-0.0825577,0.0590751
0.0145,-0.0006027,0.000431269,-0.083131,0.0594854
0.0146,-0.000611041,0.000437238,-0.0837043,0.0598956
0.0147,-0.00061944,0.000443248,-0.0842776,0.0603058
